723-85-8865,07/09/15,68,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus, Other 
979-94-2467,5/30/2015,13,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat, Perceived Physical Condition 
253-58-9660,5/23/2015,41,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse, Other 
664-34-9245,1/27/2015,6,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi, Neglect 
506-14-4016,3/20/2015,95,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum, Neglect 
513-35-3310,03/04/15,56,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet, Other 
627-15-0737,3/13/2015,73,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus, Deprivation 
252-29-4929,03/03/15,79,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper, Neglect 
873-29-2620,5/19/2015,39,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut, Other 
729-58-5518,2/24/2015,10,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst, Deprivation 
791-62-3536,01/02/15,42,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum, Neglect 
400-52-2389,02/03/15,64,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc, Other 
821-11-2735,4/22/2015,58,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing, Other 
288-59-8593,01/08/15,70,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut, Neglect 
838-11-7607,3/13/2015,72,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl, Other 
428-17-3887,4/24/2015,58,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo, Perceived Physical Condition 
484-37-1068,05/04/15,14,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et, Other 
420-54-7482,03/01/15,87,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam, Other 
529-97-6193,01/02/15,17,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus, Other 
581-26-5472,4/19/2015,58,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales, Other 
349-76-9672,4/27/2015,43,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit, Deprivation 
989-68-4793,6/29/2015,47,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus, Other 
307-09-8719,01/05/15,54,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas, Neglect 
797-43-7696,2/27/2015,80,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis, Other 
220-62-1837,6/17/2015,90,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae, Neglect 
723-85-8865,3/30/2015,49,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar, Perceived Physical Condition 
620-83-1546,1/29/2015,89,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis, Other 
378-88-6858,2/14/2015,85,augue vestibulum ante ipsum primis in faucibus orci luctus et, Other 
595-90-8809,03/03/15,63,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula, Mild Distress 
556-65-1110,04/04/15,82,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede, Other 
770-22-6561,2/22/2015,48,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis, Other 
627-79-5997,06/12/15,51,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan, Other 
330-07-1068,7/15/2015,12,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula, Other 
801-38-9691,1/30/2015,96,nulla sed accumsan felis ut at dolor quis odio consequat, Perceived Physical Condition 
122-24-4317,4/19/2015,9,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing, Neglect 
932-97-4077,3/29/2015,62,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo, Deprivation 
979-94-2467,1/13/2015,35,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit, Other 
253-58-9660,3/23/2015,21,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien, Neglect 
664-34-9245,03/08/15,92,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt, Other 
506-14-4016,4/17/2015,56,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam, Neglect 
513-35-3310,05/07/15,19,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper, Other 
627-15-0737,05/12/15,90,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien, Neglect 
252-29-4929,04/10/15,10,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse, Other 
873-29-2620,04/05/15,85,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec, Neglect 
729-58-5518,06/09/15,26,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet, Neglect 
791-62-3536,3/30/2015,76,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar, Deprivation 
400-52-2389,04/02/15,73,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim, Deprivation 
821-11-2735,1/20/2015,29,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non, Parental Illness 
288-59-8593,03/11/15,17,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit, Neglect 
838-11-7607,4/17/2015,17,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis, Other 
428-17-3887,6/13/2015,73,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede, Perceived Physical Condition 
484-37-1068,07/03/15,58,sit amet justo morbi ut odio cras mi pede malesuada, Perceived Physical Condition 
420-54-7482,04/08/15,21,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales, Other 
529-97-6193,06/10/15,6,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum, Deprivation 
581-26-5472,4/18/2015,16,leo odio condimentum id luctus nec molestie sed justo pellentesque, Other 
349-76-9672,07/10/15,6,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus, Deprivation 
989-68-4793,03/02/15,82,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec, Other 
307-09-8719,1/13/2015,79,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet, Other 
797-43-7696,1/21/2015,73,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis, SUB 
220-62-1837,4/30/2015,36,porttitor lorem id ligula suspendisse ornare consequat lectus in est, Deprivation 
723-85-8865,2/13/2015,63,sapien cursus vestibulum proin eu mi nulla ac enim in tempor, Neglect 
620-83-1546,3/19/2015,48,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue, Other 
378-88-6858,1/30/2015,99,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam, Deprivation 
595-90-8809,2/21/2015,38,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas, Perceived Physical Condition 
556-65-1110,2/27/2015,88,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus, Deprivation 
770-22-6561,07/12/15,83,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula, Perceived Physical Condition 
627-79-5997,04/02/15,3,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper, Other 
330-07-1068,1/30/2015,26,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci, Perceived Physical Condition 
801-38-9691,01/08/15,66,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus, Perceived Physical Condition 
122-24-4317,01/09/15,24,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl, Neglect 
932-97-4077,07/09/15,36,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor, Perceived Physical Condition 
979-94-2467,06/11/15,99,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero, Mild Distress 
253-58-9660,01/11/15,99,nunc purus phasellus in felis donec semper sapien a libero nam dui proin, Neglect 
664-34-9245,01/08/15,88,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere, Other 
506-14-4016,01/02/15,88,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum, Other 
513-35-3310,01/02/15,100,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in, Perceived Physical Condition 
627-15-0737,07/01/15,86,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at, Other 
252-29-4929,6/25/2015,53,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor, Neglect 
873-29-2620,7/19/2015,23,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam, Neglect 
729-58-5518,7/18/2015,14,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum, Other 
791-62-3536,3/14/2015,62,dui vel sem sed sagittis nam congue risus semper porta volutpat quam, Other 
400-52-2389,01/01/15,14,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci, Other 
821-11-2735,06/05/15,36,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget, Neglect 
288-59-8593,2/22/2015,76,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi, Mild Distress 
838-11-7607,07/12/15,89,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet, Neglect 
428-17-3887,2/22/2015,61,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum, Perceived Physical Condition 
484-37-1068,5/29/2015,59,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat, Other 
420-54-7482,07/06/15,39,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in, Other 
529-97-6193,06/09/15,34,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero, Other 
581-26-5472,02/12/15,37,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit, Other 
349-76-9672,01/06/15,1,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec, Other 
989-68-4793,1/26/2015,30,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus, Deprivation 
307-09-8719,04/05/15,60,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula, Neglect 
797-43-7696,05/09/15,100,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue, Neglect 
220-62-1837,2/25/2015,44,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti, Neglect 
723-85-8865,06/08/15,78,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo, Neglect 
620-83-1546,5/20/2015,7,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id, Neglect 
378-88-6858,3/25/2015,93,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante, Neglect 
595-90-8809,03/10/15,37,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus, Other 
556-65-1110,06/03/15,16,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor, Other 
770-22-6561,2/19/2015,58,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor, Perceived Physical Condition 
627-79-5997,01/02/15,96,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in, Other 
330-07-1068,1/25/2015,96,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in, Perceived Physical Condition 
801-38-9691,04/12/15,12,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in, Other 
122-24-4317,06/08/15,89,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras, Other 
932-97-4077,02/06/15,89,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis, Neglect 
979-94-2467,02/09/15,34,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor, Other 
253-58-9660,07/08/15,30,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi, Neglect 
664-34-9245,6/29/2015,69,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti, Neglect 
506-14-4016,02/03/15,26,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia, Other 
513-35-3310,05/10/15,97,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet, Deprivation 
627-15-0737,2/15/2015,46,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam, Other 
252-29-4929,2/13/2015,5,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit, Neglect 
873-29-2620,07/06/15,38,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit, Other 
729-58-5518,06/04/15,13,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris, Neglect 
791-62-3536,5/14/2015,26,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi, Mild Distress 
400-52-2389,3/27/2015,98,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque, Neglect 
821-11-2735,05/01/15,48,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem, Neglect 
288-59-8593,7/15/2015,50,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam, Other 
838-11-7607,04/10/15,1,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi, Neglect 
428-17-3887,3/25/2015,57,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est, Neglect 
484-37-1068,07/08/15,86,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing, Other 
420-54-7482,4/14/2015,5,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam, Other 
529-97-6193,5/13/2015,29,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac, Other 
581-26-5472,3/25/2015,29,eget rutrum at lorem integer tincidunt ante vel ipsum praesent, Neglect 
349-76-9672,5/14/2015,53,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu, Perceived Physical Condition 
989-68-4793,04/11/15,13,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis, Other 
307-09-8719,6/19/2015,40,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam, Mild Distress 
797-43-7696,12/27/2014,91,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum, Other 
220-62-1837,02/05/15,63,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum, Perceived Physical Condition 
723-85-8865,6/30/2015,46,semper est quam pharetra magna ac consequat metus sapien ut nunc, Neglect 
620-83-1546,02/09/15,26,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin, Other 
378-88-6858,4/24/2015,82,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam, Deprivation 
595-90-8809,03/06/15,30,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien, Neglect 
556-65-1110,2/20/2015,53,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id, Other 
770-22-6561,01/09/15,7,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu, Neglect 
627-79-5997,6/15/2015,23,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat, Other 
330-07-1068,5/31/2015,62,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec, Neglect 
801-38-9691,07/03/15,46,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id, Other 
122-24-4317,12/31/2014,95,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas, Perceived Physical Condition 
932-97-4077,02/07/15,92,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque, Neglect 
979-94-2467,03/10/15,47,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa, Neglect 
253-58-9660,6/21/2015,59,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean, Other 
664-34-9245,6/16/2015,44,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue, Other 
506-14-4016,02/06/15,70,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum, Mild Distress 
513-35-3310,06/01/15,6,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo, Other 
627-15-0737,6/15/2015,14,sit amet cursus id turpis integer aliquet massa id lobortis convallis, Other 
252-29-4929,01/06/15,98,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit, Other 
873-29-2620,02/02/15,62,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras, Perceived Physical Condition 
729-58-5518,02/11/15,89,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam, Other 
791-62-3536,4/16/2015,7,molestie lorem quisque ut erat curabitur gravida nisi at nibh, Deprivation 
400-52-2389,04/12/15,1,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget, Other 
821-11-2735,06/08/15,37,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a, Deprivation 
288-59-8593,02/08/15,30,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo, Other 
838-11-7607,03/02/15,99,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet, Perceived Physical Condition 
428-17-3887,3/29/2015,87,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse, Neglect 
484-37-1068,06/02/15,18,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices, Perceived Physical Condition 
420-54-7482,06/03/15,61,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis, Neglect 
529-97-6193,4/17/2015,6,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec, Mild Distress 
581-26-5472,01/06/15,33,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus, Neglect 
349-76-9672,04/08/15,76,massa donec dapibus duis at velit eu est congue elementum in hac habitasse, Other 
989-68-4793,5/22/2015,47,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim, Perceived Physical Condition 
307-09-8719,3/21/2015,19,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede, Other 
797-43-7696,2/19/2015,59,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at, Neglect 
220-62-1837,4/19/2015,50,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla, Other 
723-85-8865,06/06/15,42,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque, Abuse 
620-83-1546,12/31/2014,76,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam, Perceived Physical Condition 
378-88-6858,03/06/15,61,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam, Deprivation 
595-90-8809,1/18/2015,15,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer, Other 
556-65-1110,12/22/2014,28,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit, Other 
770-22-6561,7/18/2015,34,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus, Deprivation 
627-79-5997,5/13/2015,92,non velit donec diam neque vestibulum eget vulputate ut ultrices, Neglect 
330-07-1068,1/21/2015,64,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis, Neglect 
801-38-9691,6/16/2015,21,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam, Neglect 
122-24-4317,2/23/2015,25,vestibulum proin eu mi nulla ac enim in tempor turpis nec, Neglect 
932-97-4077,5/16/2015,77,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt, Other 
979-94-2467,1/25/2015,54,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis, Other 
253-58-9660,07/07/15,20,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices, Other 
664-34-9245,5/27/2015,85,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus, Other 
506-14-4016,3/25/2015,88,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique, Other 
513-35-3310,3/22/2015,93,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id, Neglect 
627-15-0737,4/23/2015,34,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis, Other 
252-29-4929,1/17/2015,10,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa, Other 
873-29-2620,06/07/15,63,non mi integer ac neque duis bibendum morbi non quam nec, Other 
729-58-5518,07/10/15,1,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula, Neglect 
791-62-3536,3/21/2015,10,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit, Neglect 
400-52-2389,1/31/2015,82,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus, Deprivation 
821-11-2735,4/16/2015,84,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis, Neglect 
288-59-8593,1/23/2015,13,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis, Mild Distress 
838-11-7607,02/05/15,52,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh, Other 
428-17-3887,5/20/2015,58,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in, Other 
484-37-1068,01/07/15,34,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec, Other 
420-54-7482,02/04/15,78,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet, Other 
529-97-6193,01/01/15,28,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis, Other 
581-26-5472,07/03/15,39,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat, Other 
349-76-9672,4/25/2015,42,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris, Perceived Physical Condition 
989-68-4793,6/25/2015,73,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales, Deprivation 
307-09-8719,02/05/15,67,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum, Other 
797-43-7696,3/30/2015,24,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra, Deprivation 
220-62-1837,5/16/2015,50,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla, Neglect 
723-85-8865,02/03/15,23,odio consequat varius integer ac leo pellentesque ultrices mattis odio, Neglect 
620-83-1546,01/09/15,78,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl, Deprivation 
378-88-6858,3/26/2015,13,dapibus dolor vel est donec odio justo sollicitudin ut suscipit, Other 
595-90-8809,3/28/2015,53,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit, Other 
556-65-1110,12/28/2014,21,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus, Other 
770-22-6561,03/06/15,51,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse, Other 
627-79-5997,01/07/15,65,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec, Other 
330-07-1068,12/23/2014,72,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt, Other 
801-38-9691,07/11/15,74,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in, Neglect 
122-24-4317,1/26/2015,7,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi, Other 
932-97-4077,12/27/2014,59,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus, Abuse 
979-94-2467,03/05/15,73,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in, Other 
253-58-9660,3/20/2015,97,lectus in est risus auctor sed tristique in tempus sit amet, Neglect 
664-34-9245,3/18/2015,15,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse, SUB 
506-14-4016,1/22/2015,97,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet, Other 
513-35-3310,6/20/2015,8,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae, Neglect 
627-15-0737,5/27/2015,42,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec, Parental Illness 
252-29-4929,1/28/2015,83,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem, Other 
873-29-2620,7/15/2015,46,vitae nisl aenean lectus pellentesque eget nunc donec quis orci, Other 
729-58-5518,12/27/2014,12,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum, Neglect 
791-62-3536,02/05/15,90,tristique est et tempus semper est quam pharetra magna ac consequat, Other 
